SeriesId,Month,Day,BibleReading,PrimaryBookPageRange,PrimaryBookPageStart,PrimaryBookPageEnd,SecondaryBookPageRange,SecondaryBookPageStart,SecondaryBookPageEnd,SortOrder,FullTextPrimary,FullTextSecondary,SummaryPoints
3,1,1,Gen 35:17,Patriarchs and Prophets pp. 1-4,1,4,,,,101,Sample text from Patriarchs and Prophets pages 1-4. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 1-4 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,2,Gen 28:4,Patriarchs and Prophets pp. 5-8,5,8,,,,102,Sample text from Patriarchs and Prophets pages 5-8. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 5-8 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,3,Gen 47:7,Patriarchs and Prophets pp. 9-12,9,12,,,,103,Sample text from Patriarchs and Prophets pages 9-12. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 9-12 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,4,Gen 25:16,Patriarchs and Prophets pp. 13-17,13,17,,,,104,Sample text from Patriarchs and Prophets pages 13-17. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 13-17 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,5,Gen 2:2,Patriarchs and Prophets pp. 18-23,18,23,,,,105,Sample text from Patriarchs and Prophets pages 18-23. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 18-23 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,6,Gen 7:17,Patriarchs and Prophets pp. 24-29,24,29,,,,106,Sample text from Patriarchs and Prophets pages 24-29. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 24-29 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,7,Gen 24:5,Patriarchs and Prophets pp. 30-35,30,35,,,,107,Sample text from Patriarchs and Prophets pages 30-35. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 30-35 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,8,Gen 25:2,Patriarchs and Prophets pp. 36-40,36,40,,,,108,Sample text from Patriarchs and Prophets pages 36-40. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 36-40 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,9,Gen 23:10,Patriarchs and Prophets pp. 41-46,41,46,,,,109,Sample text from Patriarchs and Prophets pages 41-46. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 41-46 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,10,Gen 19:10,Patriarchs and Prophets pp. 47-51,47,51,,,,110,Sample text from Patriarchs and Prophets pages 47-51. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 47-51 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,11,Gen 12:10,Patriarchs and Prophets pp. 52-55,52,55,,,,111,Sample text from Patriarchs and Prophets pages 52-55. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 52-55 | Key theme: Faith and obedience | Application: Reflect on God's guidance
3,1,12,Gen 34:17,Patriarchs and Prophets pp. 56-59,56,59,,,,112,Sample text from Patriarchs and Prophets pages 56-59. This is placeholder content for the daily reading.,,- Reading covers Patriarchs and Prophets pages 56-59 | Key theme: Faith and obedience | Application: Reflect on God's guidance
