"SeriesId","Month","Day","BibleReading","PrimaryBookPageRange","PrimaryBookPageStart","PrimaryBookPageEnd","SecondaryBookPageRange","SecondaryBookPageStart","SecondaryBookPageEnd","SortOrder","FullTextPrimary","FullTextSecondary","SummaryPoints"
"4","10","1","","Prophets and Kings pp. 570-572","570","572","",,,"101","","",""
"4","10","10","","Prophets and Kings pp. 595-597","595","597","",,,"102","","",""
"4","10","11","Esther 1-3","","0","0","",,,"103","","",""
"4","10","12","Esther 4-8","","0","0","",,,"104","","",""
"4","10","13","Esther 9-10","Prophets and Kings p. 598","598","598","",,,"105","","",""
"4","10","14","","Prophets and Kings pp. 599-601","599","601","",,,"106","","",""
"4","10","15","","Prophets and Kings pp. 602-606","602","606","",,,"107","","",""
"4","10","16","Ezra 7-8","Prophets and Kings p. 607","607","607","",,,"108","","",""
"4","10","17","","Prophets and Kings pp. 608-610","608","610","",,,"109","","",""
"4","10","18","","Prophets and Kings pp. 611-613","611","613","",,,"110","","",""
"4","10","19","","Prophets and Kings pp. 614-617","614","617","",,,"111","","",""
"4","10","2","","Prophets and Kings pp. 573-575","573","575","",,,"112","","",""
"4","10","20","Ezra 9-10; Joel 2-3","","0","0","",,,"113","","",""
"4","10","21","","Prophets and Kings pp. 618-620","618","620","",,,"114","","",""
"4","10","22","","Prophets and Kings pp. 621-623","621","623","",,,"115","","",""
"4","10","23","","Prophets and Kings pp. 624-627","624","627","",,,"116","","",""
"4","10","24","Nehemiah 1-2","Prophets and Kings p. 628","628","628","",,,"117","","",""
"4","10","25","","Prophets and Kings pp. 629-631","629","631","",,,"118","","",""
"4","10","26","","Prophets and Kings pp. 632-634","632","634","",,,"119","","",""
"4","10","27","Nehemiah 3-4","Prophets and Kings p. 635","635","635","",,,"120","","",""
"4","10","28","","Prophets and Kings pp. 636-638","636","638","",,,"121","","",""
"4","10","29","","Prophets and Kings pp. 639-641","639","641","",,,"122","","",""
"4","10","3","","Prophets and Kings pp. 576-578","576","578","",,,"123","","",""
"4","10","30","","Prophets and Kings pp. 642-645","642","645","",,,"124","","",""
"4","10","31","Nehemiah 5","Prophets and Kings pp. 646-647","646","647","",,,"125","","",""
